Retailer,RetailerID,InvoiceDate,Region,State,City,Product,PricePerUnit,UnitsSold,TotalSales,OperatingProfit,SalesMethod
Foot Locker,1185732,7/2/2021,Southeast,Georgia,Atlanta,Men's Street Footwear,31.00,376,"1,166",559.00,Outlet
Sports Direct,1197831,8/22/2021,South,Alabama,Birmingham,Women's Athletic Footwear,20.00,375,"7,500","4,125.00",Outlet
Foot Locker,1185732,2/18/2021,Midwest,Michigan,Detroit,Women's Street Footwear,20.00,375,"7,500","2,625.00",In-store
West Gear,1185732,11/8/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,20.00,375,"7,500","3,000.00",In-store
West Gear,1185732,11/11/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,20.00,375,"7,500","3,000.00",In-store
Foot Locker,1185732,4/17/2021,South,Mississippi,Jackson,Women's Street Footwear,15.00,375,"5,625","2,250.00",Online
West Gear,1197831,11/20/2021,South,Arkansas,Little Rock,Men's Athletic Footwear,15.00,375,"5,625","1,969.00",Online
West Gear,1197831,1/23/2021,South,Arkansas,Little Rock,Women's Street Footwear,15.00,375,"5,625","2,250.00",Online
Foot Locker,1185732,3/16/2020,Northeast,New York,New York,Men's Street Footwear,41.00,375,"1,538",800.00,Outlet
Walmart,1197831,8/26/2020,South,Texas,Houston,Women's Street Footwear,29.00,374,"1,085",445.00,Outlet
Walmart,1197831,1/9/2020,South,Texas,Houston,Women's Street Footwear,29.00,374,"1,085",445.00,Outlet
Foot Locker,1185732,1/31/2020,Northeast,New York,New York,Men's Street Footwear,33.00,372,"1,228",663.00,Outlet
Foot Locker,1185732,6/2/2020,Northeast,New York,New York,Men's Street Footwear,44.00,366,"1,610",837.00,Outlet
Walmart,1185732,4/19/2020,Northeast,New York,New York,Men's Street Footwear,56.00,360,"2,016","1,250.00",Online
Foot Locker,1185732,3/17/2020,Northeast,New York,New York,Men's Athletic Footwear,37.00,359,"1,328",452.00,Outlet
Walmart,1185732,4/18/2020,Northeast,New York,New York,Women's Apparel,48.00,355,"1,704",511.00,Outlet
Foot Locker,1185732,1/25/2020,Northeast,New York,New York,Men's Street Footwear,46.00,354,"1,628","1,026.00",Online
Foot Locker,1185732,3/15/2020,Northeast,New York,New York,Women's Apparel,47.00,352,"1,654",447.00,Outlet
Foot Locker,1185732,3/17/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,25.00,350,"8,750","3,063.00",In-store
Foot Locker,1185732,6/18/2021,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25.00,350,"8,750","3,500.00",In-store
Foot Locker,1185732,10/18/2021,Midwest,Missouri,St. Louis,Men's Athletic Footwear,25.00,350,"8,750","3,063.00",In-store
Foot Locker,1185732,11/18/2021,Midwest,Missouri,St. Louis,Men's Athletic Footwear,25.00,350,"8,750","3,063.00",In-store
West Gear,1185732,12/5/2021,West,Utah,Salt Lake City,Women's Street Footwear,25.00,350,"8,750","3,063.00",In-store
West Gear,1185732,12/9/2021,West,Utah,Salt Lake City,Women's Street Footwear,10.00,350,"3,500","1,225.00",In-store
Amazon,1185732,10/4/2021,Midwest,Ohio,Columbus,Women's Athletic Footwear,25.00,350,"8,750","3,500.00",Online
Walmart,1185732,10/18/2021,South,Mississippi,Jackson,Women's Athletic Footwear,25.00,350,"8,750","3,500.00",Online
Sports Direct,1197831,2/21/2021,South,Mississippi,Jackson,Men's Athletic Footwear,25.00,350,"8,750","3,063.00",Online
Walmart,1197831,3/19/2021,South,Arkansas,Little Rock,Women's Street Footwear,10.00,350,"3,500","1,400.00",Online
Walmart,1197831,3/19/2021,South,Arkansas,Little Rock,Women's Apparel,25.00,350,"8,750","3,500.00",Online
Walmart,1197831,9/19/2021,South,Arkansas,Little Rock,Women's Street Footwear,15.00,350,"5,250","2,100.00",Online
West Gear,1197831,2/21/2021,South,Oklahoma,Oklahoma City,Women's Apparel,20.00,350,"7,000","2,800.00",Online
West Gear,1197831,10/21/2021,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,20.00,350,"7,000","2,450.00",Online
Kohl's,1197831,1/16/2021,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,25.00,350,"8,750","3,063.00",Online
Kohl's,1197831,1/16/2021,South,Oklahoma,Oklahoma City,Women's Street Footwear,15.00,350,"5,250","1,838.00",Online
Kohl's,1197831,1/16/2021,South,Oklahoma,Oklahoma City,Women's Apparel,25.00,350,"8,750","3,063.00",Online
West Gear,1185732,2/17/2021,Northeast,West Virginia,Charleston,Women's Apparel,25.00,350,"8,750","3,500.00",In-store
Foot Locker,1185732,3/1/2020,Northeast,New York,New York,Women's Street Footwear,32.00,350,"1,120",414.00,Outlet
Foot Locker,1185732,1/24/2020,Northeast,New York,New York,Women's Apparel,36.00,350,"1,260",365.00,Outlet
Walmart,1185732,4/20/2020,Northeast,New York,New York,Men's Athletic Footwear,43.00,350,"1,505",497.00,Outlet
Walmart,1185732,4/24/2020,Northeast,New York,New York,Women's Apparel,45.00,350,"1,575",473.00,Outlet
Walmart,1197831,8/23/2020,South,Texas,Houston,Women's Apparel,38.00,350,"1,330",758.00,Outlet
Foot Locker,1185732,9/1/2021,Southeast,Georgia,Atlanta,Men's Street Footwear,26.00,349,907,426.00,Outlet
Foot Locker,1185732,9/3/2020,Northeast,New York,New York,Women's Apparel,46.00,347,"1,596",511.00,Outlet
West Gear,1185732,11/11/2021,West,Utah,Salt Lake City,Women's Street Footwear,20.00,345,"6,900","2,415.00",In-store
West Gear,1128299,6/1/2021,West,California,San Francisco,Men's Street Footwear,41.00,341,"1,398",601.00,Outlet
Foot Locker,1185732,5/3/2020,Northeast,New York,New York,Men's Athletic Footwear,41.00,340,"1,394",474.00,Outlet
Walmart,1185732,7/18/2020,Northeast,New York,New York,Women's Apparel,48.00,340,"1,632",490.00,Outlet
West Gear,1128299,12/1/2021,West,California,San Francisco,Men's Street Footwear,41.00,338,"1,386",527.00,Outlet
Foot Locker,1185732,1/1/2020,Northeast,New York,New York,Men's Street Footwear,47.00,336,"1,579",963.00,Online
Foot Locker,1185732,5/2/2020,Northeast,New York,New York,Women's Apparel,39.00,333,"1,299",351.00,Outlet
Walmart,1185732,5/5/2020,Northeast,New York,New York,Women's Street Footwear,42.00,333,"1,399",559.00,Outlet
Walmart,1197831,10/26/2020,South,Texas,Houston,Men's Street Footwear,32.00,333,"1,066",426.00,Outlet
Walmart,1197831,10/27/2020,South,Texas,Houston,Men's Athletic Footwear,34.00,333,"1,132",476.00,Outlet
West Gear,1128299,12/2/2021,West,California,San Francisco,Men's Athletic Footwear,46.00,332,"1,527",321.00,Outlet
Sports Direct,1197831,9/24/2021,South,Texas,Dallas,Women's Street Footwear,35.00,332,"1,162",546.00,Outlet
Foot Locker,1185732,6/1/2020,Northeast,New York,New York,Women's Apparel,38.00,330,"1,254",401.00,Outlet
Walmart,1185732,4/26/2020,Northeast,New York,New York,Women's Apparel,50.00,330,"1,650",462.00,Outlet
Foot Locker,1185732,6/8/2021,Southeast,South Carolina,Charleston,Men's Street Footwear,62.00,326,"2,021","1,152.00",Online
Foot Locker,1185732,8/18/2021,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25.00,325,"8,125","3,250.00",In-store
Foot Locker,1185732,11/18/2021,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25.00,325,"8,125","3,250.00",In-store
West Gear,1185732,11/1/2021,Midwest,Missouri,St. Louis,Women's Athletic Footwear,20.00,325,"6,500","2,600.00",In-store
West Gear,1185732,11/4/2021,West,Utah,Salt Lake City,Men's Athletic Footwear,25.00,325,"8,125","2,844.00",In-store
West Gear,1185732,11/4/2021,West,Utah,Salt Lake City,Women's Street Footwear,15.00,325,"4,875","1,706.00",In-store
West Gear,1185732,12/9/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,10.00,325,"3,250","1,300.00",In-store
West Gear,1185732,12/9/2021,West,Utah,Salt Lake City,Men's Apparel,20.00,325,"6,500","2,275.00",In-store
Amazon,1185732,9/3/2021,Midwest,Ohio,Columbus,Women's Athletic Footwear,25.00,325,"8,125","3,250.00",Online
Foot Locker,1185732,2/18/2021,South,Mississippi,Jackson,Women's Athletic Footwear,25.00,325,"8,125","3,250.00",Online
Walmart,1197831,3/19/2021,South,Arkansas,Little Rock,Men's Athletic Footwear,20.00,325,"6,500","2,275.00",Online
Walmart,1197831,9/19/2021,South,Arkansas,Little Rock,Women's Athletic Footwear,15.00,325,"4,875","1,950.00",Online
Walmart,1197831,9/19/2021,South,Arkansas,Little Rock,Men's Apparel,25.00,325,"8,125","2,844.00",Online
West Gear,1197831,2/21/2021,South,Arkansas,Little Rock,Women's Street Footwear,15.00,325,"4,875","1,950.00",Online
Kohl's,1197831,2/14/2021,Midwest,Kansas,Wichita,Women's Apparel,20.00,325,"6,500","2,275.00",Online
Kohl's,1197831,10/14/2021,Midwest,Kansas,Wichita,Men's Athletic Footwear,20.00,325,"6,500","2,275.00",Online
West Gear,1185732,3/16/2021,Northeast,West Virginia,Charleston,Women's Street Footwear,20.00,325,"6,500","2,600.00",In-store
Foot Locker,1185732,3/16/2020,Northeast,New York,New York,Men's Street Footwear,58.00,325,"1,885","1,150.00",Online
Foot Locker,1185732,3/31/2020,Northeast,New York,New York,Women's Athletic Footwear,40.00,324,"1,296",518.00,Outlet
Sports Direct,1185732,5/24/2020,Southeast,Florida,Miami,Men's Street Footwear,63.00,323,"2,035","1,140.00",Online
Foot Locker,1185732,1/21/2020,Northeast,New York,New York,Women's Street Footwear,32.00,323,"1,034",393.00,Outlet
Foot Locker,1185732,1/30/2020,Northeast,New York,New York,Women's Apparel,36.00,323,"1,163",314.00,Outlet
Walmart,1197831,8/19/2020,South,Texas,Houston,Men's Athletic Footwear,33.00,323,"1,066",448.00,Outlet
Walmart,1185732,2/5/2020,Northeast,New York,New York,Women's Apparel,53.00,322,"1,707",478.00,Outlet
West Gear,1128299,11/2/2021,West,California,San Francisco,Men's Street Footwear,40.00,322,"1,288",425.00,Outlet
Sports Direct,1197831,9/18/2021,South,Texas,Dallas,Women's Street Footwear,33.00,322,"1,063",446.00,Outlet
Sports Direct,1197831,4/17/2021,South,Tennessee,Knoxville,Women's Street Footwear,30.00,322,966,483.00,Outlet
Sports Direct,1197831,8/9/2021,South,Alabama,Birmingham,Women's Street Footwear,31.00,322,998,559.00,Outlet
West Gear,1197831,11/20/2021,South,Arkansas,Little Rock,Women's Street Footwear,25.00,320,"8,000","3,200.00",Online
Foot Locker,1185732,2/1/2020,Northeast,New York,New York,Men's Athletic Footwear,36.00,320,"1,152",403.00,Outlet
Foot Locker,1185732,3/3/2020,Northeast,New York,New York,Women's Apparel,44.00,320,"1,408",408.00,Outlet
Foot Locker,1185732,10/3/2020,Northeast,New York,New York,Men's Street Footwear,59.00,319,"1,882","1,129.00",Online
Walmart,1197831,8/26/2020,South,Texas,Houston,Women's Street Footwear,37.00,319,"1,180",531.00,Online
Foot Locker,1185732,12/8/2020,Southeast,Florida,Miami,Men's Street Footwear,43.00,319,"1,372",782.00,Online
Foot Locker,1185732,11/3/2020,Northeast,New York,New York,Men's Athletic Footwear,41.00,318,"1,304",482.00,Outlet
Foot Locker,1185732,6/2/2020,Northeast,New York,New York,Men's Street Footwear,54.00,317,"1,712","1,096.00",Online
Foot Locker,1185732,8/1/2020,Northeast,New York,New York,Men's Athletic Footwear,39.00,315,"1,229",405.00,Outlet
Foot Locker,1185732,1/26/2020,Northeast,New York,New York,Men's Athletic Footwear,35.00,315,"1,103",397.00,Outlet
Foot Locker,1185732,1/2/2020,Northeast,New York,New York,Men's Athletic Footwear,35.00,315,"1,103",364.00,Outlet
Foot Locker,1185732,2/2/2020,Northeast,New York,New York,Women's Street Footwear,28.00,315,882,335.00,Outlet
Walmart,1185732,4/21/2020,Northeast,New York,New York,Women's Street Footwear,36.00,315,"1,134",442.00,Outlet
Walmart,1185732,4/23/2020,Northeast,New York,New York,Men's Apparel,44.00,315,"1,386",513.00,Outlet
Walmart,1197831,12/8/2020,South,Texas,Houston,Men's Street Footwear,24.00,315,756,295.00,Outlet
Walmart,1197831,7/9/2020,South,Texas,Houston,Women's Street Footwear,36.00,315,"1,134",431.00,Outlet
Kohl's,1189833,5/25/2021,West,California,Los Angeles,Men's Street Footwear,39.00,315,"1,229",565.00,Outlet
Foot Locker,1185732,1/27/2020,Northeast,New York,New York,Women's Street Footwear,27.00,314,848,348.00,Outlet
Foot Locker,1185732,3/18/2020,Northeast,New York,New York,Women's Street Footwear,37.00,314,"1,162",430.00,Outlet
Sports Direct,1197831,4/23/2021,South,Tennessee,Knoxville,Women's Street Footwear,39.00,314,"1,225",576.00,Outlet
Foot Locker,1185732,7/1/2020,Northeast,New York,New York,Men's Street Footwear,46.00,313,"1,440",893.00,Online
Foot Locker,1185732,4/3/2020,Northeast,New York,New York,Men's Street Footwear,55.00,313,"1,722","1,050.00",Online
Walmart,1185732,3/5/2020,Northeast,New York,New York,Men's Street Footwear,62.00,312,"1,934","1,238.00",Online
Foot Locker,1185732,7/2/2021,Southeast,Georgia,Atlanta,Men's Street Footwear,38.00,312,"1,186",700.00,Online
Walmart,1185732,4/28/2020,Northeast,New York,New York,Men's Athletic Footwear,40.00,312,"1,248",449.00,Outlet
Foot Locker,1185732,5/7/2021,Southeast,South Carolina,Charleston,Men's Street Footwear,63.00,311,"1,959","1,156.00",Online
Walmart,1185732,4/5/2020,Northeast,New York,New York,Men's Athletic Footwear,43.00,310,"1,333",467.00,Outlet
Foot Locker,1185732,3/17/2020,Northeast,New York,New York,Men's Athletic Footwear,53.00,308,"1,632",669.00,Online
Sports Direct,1185732,3/8/2021,Southeast,North Carolina,Charlotte,Men's Street Footwear,61.00,308,"1,879",996.00,Online
Foot Locker,1185732,5/1/2020,Northeast,New York,New York,Men's Apparel,43.00,306,"1,316",487.00,Outlet
Foot Locker,1185732,1/23/2020,Northeast,New York,New York,Men's Apparel,43.00,306,"1,316",461.00,Outlet
Walmart,1185732,4/22/2020,Northeast,New York,New York,Women's Athletic Footwear,34.00,306,"1,040",406.00,Outlet
Walmart,1185732,6/5/2020,Northeast,New York,New York,Women's Athletic Footwear,41.00,306,"1,255",502.00,Outlet
Sports Direct,1197831,7/31/2020,South,Texas,Houston,Men's Street Footwear,20.00,306,612,257.00,Outlet
Sports Direct,1197831,6/8/2020,South,Texas,Houston,Men's Street Footwear,23.00,306,704,260.00,Outlet
Sports Direct,1197831,7/8/2020,South,Texas,Houston,Men's Athletic Footwear,29.00,306,887,364.00,Outlet
Walmart,1197831,10/21/2020,South,Texas,Houston,Men's Athletic Footwear,31.00,306,949,379.00,Outlet
Walmart,1197831,10/31/2020,South,Texas,Houston,Women's Apparel,41.00,306,"1,255",690.00,Outlet
West Gear,1128299,11/1/2021,West,California,San Francisco,Women's Apparel,60.00,306,"1,836",477.00,Outlet
West Gear,1128299,6/2/2021,West,California,San Francisco,Men's Athletic Footwear,46.00,306,"1,408",282.00,Outlet
Kohl's,1189833,1/5/2021,West,California,Los Angeles,Men's Street Footwear,36.00,306,"1,102",496.00,Outlet
Sports Direct,1197831,4/14/2021,South,Tennessee,Knoxville,Women's Apparel,37.00,306,"1,132",668.00,Outlet
West Gear,1128299,7/16/2021,South,Louisiana,New Orleans,Men's Street Footwear,62.00,306,"1,897",816.00,Outlet
Foot Locker,1185732,9/3/2020,Northeast,New York,New York,Women's Apparel,64.00,305,"1,952",761.00,Online
Walmart,1197831,8/30/2020,South,Texas,Houston,Men's Street Footwear,27.00,305,824,305.00,Outlet
Walmart,1197831,8/31/2020,South,Texas,Houston,Men's Athletic Footwear,33.00,305,"1,007",382.00,Outlet
Foot Locker,1197831,8/8/2021,West,Idaho,Boise,Women's Street Footwear,39.00,305,"1,190",511.00,Outlet
West Gear,1185732,9/17/2020,Southeast,Florida,Miami,Men's Street Footwear,60.00,304,"1,824","1,040.00",Online
Walmart,1197831,8/29/2020,South,Texas,Houston,Women's Apparel,36.00,302,"1,087",565.00,Outlet
West Gear,1128299,1/18/2021,West,California,San Francisco,Men's Street Footwear,45.00,302,"1,359",544.00,Outlet
Sports Direct,1197831,1/4/2021,South,Tennessee,Knoxville,Men's Apparel,30.00,300,"9,000","3,150.00",Outlet
Sports Direct,1197831,9/28/2021,South,Alabama,Birmingham,Men's Apparel,30.00,300,"9,000","4,050.00",Outlet
Foot Locker,1185732,5/19/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,30.00,300,"9,000","3,150.00",In-store
Foot Locker,1185732,9/19/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,15.00,300,"4,500","1,575.00",In-store
West Gear,1185732,11/2/2021,West,Utah,Salt Lake City,Women's Athletic Footwear,20.00,300,"6,000","2,400.00",In-store
West Gear,1185732,11/10/2021,West,Utah,Salt Lake City,Women's Street Footwear,20.00,300,"6,000","2,100.00",In-store
Amazon,1185732,1/22/2021,Midwest,Ohio,Columbus,Women's Street Footwear,30.00,300,"9,000","3,600.00",Online
Foot Locker,1185732,4/17/2021,South,Mississippi,Jackson,Women's Athletic Footwear,20.00,300,"6,000","2,400.00",Online
Sports Direct,1197831,1/23/2021,South,Mississippi,Jackson,Women's Athletic Footwear,20.00,300,"6,000","2,400.00",Online
Walmart,1197831,4/20/2021,South,Arkansas,Little Rock,Men's Athletic Footwear,25.00,300,"7,500","2,625.00",Online
Walmart,1197831,4/20/2021,South,Arkansas,Little Rock,Women's Street Footwear,15.00,300,"4,500","1,800.00",Online
Walmart,1197831,10/21/2021,South,Arkansas,Little Rock,Women's Street Footwear,20.00,300,"6,000","2,400.00",Online
Kohl's,1197831,11/20/2021,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,15.00,300,"4,500","1,575.00",Online
Kohl's,1197831,2/14/2021,South,Oklahoma,Oklahoma City,Women's Street Footwear,15.00,300,"4,500","1,575.00",Online
Kohl's,1197831,4/13/2021,Midwest,Kansas,Wichita,Women's Apparel,30.00,300,"9,000","3,150.00",Online
Foot Locker,1197831,10/14/2021,Midwest,Kansas,Wichita,Women's Apparel,30.00,300,"9,000","3,150.00",Online
West Gear,1185732,3/6/2021,Midwest,Wisconsin,Milwaukee,Men's Athletic Footwear,30.00,300,"9,000","3,150.00",In-store
West Gear,1185732,10/1/2021,Midwest,Wisconsin,Milwaukee,Women's Street Footwear,25.00,300,"7,500","2,625.00",In-store
West Gear,1185732,10/2/2021,Midwest,Indiana,Indianapolis,Women's Apparel,20.00,300,"6,000","2,400.00",In-store
West Gear,1185732,1/17/2021,Midwest,Indiana,Indianapolis,Women's Street Footwear,25.00,300,"7,500","3,000.00",In-store
West Gear,1185732,2/17/2021,Midwest,Indiana,Indianapolis,Women's Street Footwear,30.00,300,"9,000","3,600.00",In-store
Sports Direct,1185732,7/1/2021,Northeast,New Jersey,Newark,Women's Street Footwear,30.00,300,"9,000","2,700.00",In-store
Foot Locker,1185732,1/31/2020,Northeast,New York,New York,Men's Street Footwear,45.00,300,"1,350",837.00,Online
Walmart,1185732,4/5/2020,Northeast,New York,New York,Men's Athletic Footwear,51.00,300,"1,530",643.00,Online
West Gear,1185732,4/24/2020,Southeast,Florida,Miami,Men's Street Footwear,52.00,300,"1,560",874.00,Online
Walmart,1185732,4/27/2020,Northeast,New York,New York,Men's Street Footwear,60.00,299,"1,794","1,076.00",Online
West Gear,1185732,11/9/2020,Southeast,Florida,Miami,Men's Street Footwear,60.00,299,"1,794","1,076.00",Online
Walmart,1197831,10/9/2020,South,Texas,Houston,Women's Apparel,42.00,298,"1,252",713.00,Outlet
Walmart,1197831,10/28/2020,South,Texas,Houston,Women's Street Footwear,38.00,298,"1,132",430.00,Outlet
West Gear,1128299,7/23/2021,West,Oregon,Portland,Men's Street Footwear,60.00,298,"1,788",751.00,Outlet
Walmart,1197831,1/9/2020,South,Texas,Houston,Women's Street Footwear,39.00,297,"1,158",533.00,Online
Foot Locker,1185732,7/3/2020,Northeast,New York,New York,Women's Athletic Footwear,38.00,297,"1,129",429.00,Outlet
Kohl's,1189833,4/19/2021,West,California,Los Angeles,Men's Street Footwear,36.00,297,"1,069",470.00,Outlet
Walmart,1128299,7/16/2021,Southeast,Florida,Orlando,Men's Street Footwear,68.00,297,"2,020",747.00,Outlet
Foot Locker,1185732,7/2/2020,Northeast,New York,New York,Men's Athletic Footwear,37.00,296,"1,095",383.00,Outlet
Foot Locker,1185732,6/3/2020,Northeast,New York,New York,Women's Street Footwear,37.00,296,"1,095",449.00,Outlet
Foot Locker,1185732,11/18/2021,Midwest,Missouri,St. Louis,Women's Street Footwear,25.00,295,"7,375","2,581.00",In-store
Foot Locker,1185732,12/3/2020,Northeast,New York,New York,Women's Street Footwear,35.00,295,"1,033",434.00,Outlet
Walmart,1197831,8/17/2020,South,Texas,Houston,Women's Apparel,32.00,295,944,538.00,Outlet
Walmart,1197831,8/18/2020,South,Texas,Houston,Men's Street Footwear,28.00,295,826,339.00,Outlet
Walmart,1197831,8/24/2020,South,Texas,Houston,Men's Street Footwear,29.00,295,856,342.00,Outlet
Sports Direct,1185732,2/7/2021,Southeast,North Carolina,Charlotte,Men's Street Footwear,60.00,294,"1,764",882.00,Online
Walmart,1185732,4/29/2020,Northeast,New York,New York,Women's Street Footwear,43.00,294,"1,264",531.00,Outlet
Walmart,1197831,8/29/2020,South,Texas,Houston,Women's Apparel,47.00,293,"1,377",868.00,Online
West Gear,1128299,11/2/2021,West,California,San Francisco,Men's Street Footwear,51.00,293,"1,494",598.00,Online
Foot Locker,1185732,1/24/2020,Northeast,New York,New York,Women's Apparel,48.00,290,"1,392",529.00,Online
Foot Locker,1185732,3/3/2020,Northeast,New York,New York,Women's Apparel,59.00,290,"1,711",616.00,Online
Walmart,1185732,4/18/2020,Northeast,New York,New York,Women's Apparel,62.00,290,"1,798",665.00,Online
Walmart,1185732,4/26/2020,Northeast,New York,New York,Women's Apparel,68.00,290,"1,972",749.00,Online
Walmart,1185732,7/18/2020,Northeast,New York,New York,Women's Apparel,68.00,290,"1,972",690.00,Online
West Gear,1185732,4/24/2020,Southeast,Florida,Miami,Men's Street Footwear,55.00,290,"1,595",941.00,Online
Foot Locker,1185732,5/12/2021,Southeast,South Carolina,Charleston,Men's Street Footwear,67.00,290,"1,943","1,166.00",Online
Foot Locker,1185732,1/29/2020,Northeast,New York,New York,Men's Apparel,43.00,289,"1,243",398.00,Outlet
Foot Locker,1185732,3/2/2020,Northeast,New York,New York,Women's Athletic Footwear,31.00,289,896,331.00,Outlet
Foot Locker,1185732,9/2/2020,Northeast,New York,New York,Women's Athletic Footwear,33.00,289,954,381.00,Outlet
Walmart,1185732,4/25/2020,Northeast,New York,New York,Men's Apparel,51.00,289,"1,474",472.00,Outlet
Sports Direct,1197831,7/26/2020,South,Texas,Houston,Men's Athletic Footwear,23.00,289,665,279.00,Outlet
Walmart,1197831,10/25/2020,South,Texas,Houston,Women's Apparel,44.00,289,"1,272",725.00,Outlet
West Gear,1128299,7/11/2020,West,California,San Francisco,Men's Street Footwear,28.00,289,809,340.00,Outlet
West Gear,1128299,1/30/2021,West,California,San Francisco,Men's Street Footwear,36.00,289,"1,040",343.00,Outlet
Kohl's,1189833,7/5/2021,West,California,Los Angeles,Men's Street Footwear,38.00,289,"1,098",505.00,Outlet
Foot Locker,1185732,7/16/2021,South,Mississippi,Jackson,Men's Street Footwear,47.00,289,"1,358",625.00,Outlet
Foot Locker,1185732,8/2/2020,Northeast,New York,New York,Women's Street Footwear,36.00,288,"1,037",435.00,Outlet
Foot Locker,1185732,8/3/2020,Northeast,New York,New York,Men's Apparel,45.00,288,"1,296",441.00,Outlet
Kohl's,1189833,5/26/2021,West,California,Los Angeles,Men's Athletic Footwear,42.00,288,"1,210",339.00,Outlet
West Gear,1185732,10/2/2021,Southeast,Florida,Orlando,Men's Street Footwear,36.00,288,"1,037",487.00,Outlet
Foot Locker,1185732,5/9/2021,Southeast,South Carolina,Charleston,Men's Street Footwear,51.00,287,"1,464",849.00,Online
